author_display,title,id,author_id
"Leopardi, Giacomo",The Calm after the Storm ,text00576,pers00106
"Blake, William",Fair Elenor ,text00238,pers00009
"Mörike, Eduard",The Forsaken Girl ,text01091,pers00210
"Mörike, Eduard","On a Winter Morning, Before Sunrise ",text01085,pers00210
"Robinson, Mary",The Castle of Indolence Stanzas [Ll. 37-72],text00370,pers00003
"Wordsworth, William","The Prelude [‘The Glad Preamble’, Book I., ll. 1-54]",text00364,pers00006
"Blake, William","Milton [‘I Come In Self-Annihilation’, plate 4, ll. 2-28]",text00358,pers00009
"Baratynsky, Evgeny",Tempest ,text01293,pers00075
"Dickinson, Emily","[712 ""Because I could not stop for Death —""] ",text00833,pers00523
"Dickinson, Emily","[632 ""The Brain — is wider than the Sky —""] ",text00827,pers00523
"Lloyd, Charles",On the Death of Priscilla Farmer ,text00199,pers00036
"Pushkin, Alexander",The Bronze Horseman A Tale of St. Petersburg,text01287,pers00120
"Shelley, Percy Bysshe","Music, When Soft Voices Die ",text00172,pers00014
"Byron, George Gordon, Lord","Don Juan [‘The Isles of Greece’, Canto III, st. 86 (hymn only)]",text00166,pers00012
"Zhukovsky, Vasily",Song ,text01250,pers00134
"Sigourney, Lydia",Indian Names ,text00628,pers00586
"Castro, Rosalía de",Justice by the Hand ,text01244,pers00166
"Batyushkov, Konstantin",Shade of a Friend ,text01252,pers00076
"Tighe, Mary",Address to My Harp ,text00158,pers00022
"Zhukovsky, Vasily",Song (When I was loved ...) ,text01246,pers00134
"Shelley, Percy Bysshe",The Cloud ,text00170,pers00014
"Byron, George Gordon, Lord",Stanzas for Music (‘There’s not a joy’),text00164,pers00012
"Dickinson, Emily","[664 ""Of all the Souls that stand create —""] ",text00831,pers00523
"Baratynsky, Evgeny",An Admission ,text01291,pers00075
"Pushkin, Alexander",Autumn (A Fragment),text01285,pers00120
"Dickinson, Emily","[613 ""They shut me up in Prose —""] ",text00825,pers00523
"Dickinson, Emily","[448 ""This was a Poet — It is That""] ",text00819,pers00523
"Wordsworth, William",A Complaint ,text00372,pers00006
"Wordsworth, William","Elegiac Stanzas, Suggested by a Picture of Peele Castle in a Storm, Painted by Sir George Beaumont ",text00366,pers00006
"Mörike, Eduard",Withdrawal ,text01093,pers00210
"Mörike, Eduard",September Morning ,text01087,pers00210
"Hölderlin, Friedrich",Bread and Wine ,text00548,pers00099
"Wordsworth, William",With Ships the Sea Was Sprinkled ,text00206,pers00006
"Fet, Afanasy",The Tomb of My Brother: Ode.,text00560,pers00371
"Petöfi, Sándor",The Tisza ,text00574,pers00118
"Wordsworth, William",Scorn Not the Sonnet ,text00212,pers00006
"Hölderlin, Friedrich",The Sanctimonious Poets ,text00986,pers00099
