author_display,title,id,author_id
"Keats, John",Ode on Melancholy ,text00102,pers00013
"Longfellow, Henry Wadsworth",The Village Blacksmith ,text00664,pers00205
"Eichendorff, Joseph Freiherr von",Departure In a forest near Lubowitz.,text00894,pers00091
"Emerson, Ralph Waldo",Maia ,text00658,pers00092
"Goethe, Johann Wolfgang von",Wanderer's Nightsong II ,text00857,pers00096
"Dickinson, Emily","[1545 ""The Bible is an antique Volume —""] ",text00843,pers00523
"Burns, Robert",I Love My Jean ,text00314,pers00002
"Wordsworth, William","The Prelude [Book X. ‘Residence in France and French Revolution’, ll. 466-476, 515-556 (‘Eternal Justice’: Morecambe Sands, Aug. 1794)]",text00300,pers00006
"Wordsworth, William",She Was a Phantom of Delight ,text00328,pers00006
"Aasen, Ivar",The Norwegian ,text00499,pers00347
"Burns, Robert",Holy Willie’s Prayer ,text00260,pers00002
"Byron, George Gordon, Lord","Don Juan [Canto I, st. LIV. -CXVII., CXXXIII. -CLXXXVII.]",text00274,pers00012
"Scott, Walter","The Lay of the Last Minstrel [Canto II., st. I. -XXIII.]",text00248,pers00010
"Gautier, Théophile",Sonnet I ,text01181,pers00062
"Alfieri, Vittorio","Here, in so poor a tomb ... ",text01195,pers00514
"Cranch, Christopher Pearse",The Ocean ,text00704,pers00595
"Hood, Thomas",The Dream of Eugene Aram ,text00062,pers00017
Wu Tsao,For the Courtesan Ch’ing Lin ,text01368,pers00837
"Wordsworth, William",Statue Horse ,text00076,pers00006
"Very, Jones",The New Birth ,text00710,pers00596
"Channing, William Ellery",A Poet's Hope ,text00738,pers00598
"Goethe, Johann Wolfgang von","Venetian Epigrams [I., LXVI., CVI., CXXXVII., CXLI., CXLIII., CLV.]",text01354,pers00096
"Keats, John",Epistle to J. H. Reynolds [Ll. 82 – 105],text00089,pers00013
"Beddoes, Thomas Lovell",Dream-Pedlary ,text01397,pers00045
"Hugo, Victor",To My Friend S. -B. ,text00937,pers00064
"Beddoes, Thomas Lovell",A Crocodile ,text01396,pers00045
"Keats, John","Endymion [Book I, ll. 777 – 802]",text00088,pers00013
"Tagore, Rabindranath","Little Flute Gitanjali, 1",text01382,pers00842
"Solomos, Dionysios",Hymn to Liberty ,text01433,pers00125
"Jovanović, Jovan (Zmaj)",Grandfather and grandson ,text01427,pers00243
"Channing, William Ellery",Walden ,text00739,pers00598
"Petöfi, Sándor","Fate, give me space ... ",text01341,pers00118
"Wordsworth, William","Climbing of Snowdon [Prelude XIII., ll. 10 – 73]",text00077,pers00006
"Very, Jones",The Garden ,text00711,pers00596
"Cranch, Christopher Pearse",In the Palais Royal Garden ,text00705,pers00595
"Hemans, Felicia",Indian Woman’s Death Song ,text00063,pers00018
"Sainte-Beuve, Charles-Augustin",The Yellow Rays ,text01157,pers00122
"Hogg, James",The Wife of Crowle ,text00249,pers00015
"Hugo, Victor",Since flowering May is calling us outside ... ,text01143,pers00064
"Saavedra, Duque de Rivas, Ángel de",Romance / Ballad ,text00513,pers00231
"Southey, Robert",The Cataract of Lodore ,text00275,pers00008
"Robinson, Mary","January, 1795 ",text00261,pers00003
"Eminescu, Mihai","What I Wish You, Sweet Romanian Land ",text00507,pers00175
"Günderode, Karoline von",The Kiss in the Dream ,text01023,pers00097
"Wordsworth, William","‘Another Maid There Was’ [Prelude Book VI., ll. 233 – 239; XI., ll. 215 – 222]",text00329,pers00006
"Eichendorff, Joseph Freiherr von",Conversation in the Forest ,text01037,pers00091
"Espronceda, José de","It’s an Absurd World [Canto II, ‘To Teresa. Rest in Peace’ (extract)]",text00467,pers00178
"Clare, John",Helpstone [Ll. 95-134],text00301,pers00016
"Burns, Robert",Highland Mary ,text00315,pers00002
"Campoamor, Ramón de",Human Life ,text00473,pers00339
"Dickinson, Emily","[1129 ""Tell all the Truth but tell it slant —""] ",text00842,pers00523
"Espronceda, José de",The Beggar ,text01221,pers00178
"Hawthorne, Nathaniel",Oh could I raise the darken'd veil... ,text00659,pers00275
"Foscolo, Ugo",On the Death of His Brother Giovanni [Sonnet 10],text00881,pers00093
"Bécquer, Gustavo Adolfo",Rima XIV ,text01235,pers00150
"Keats, John",Ode on Indolence ,text00103,pers00013
"Longfellow, Henry Wadsworth",The Warning ,text00665,pers00205
"Whittier, John Greenleaf",The Hunters of Men ,text00671,pers00590
"Berchet, Giovanni",The Troubadour. Romance.,text01209,pers00324
"Blake, William",The Chimney Sweeper ,text00117,pers00009
"Longfellow, Henry Wadsworth",The Jewish Cemetery at Newport ,text00667,pers00205
"Keats, John",Ode on a Grecian Urn ,text00101,pers00013
"Blake, William",Holy Thursday ,text00115,pers00009
"Whittier, John Greenleaf",Telling the Bees ,text00673,pers00590
"Foscolo, Ugo",To the Muse [Sonnet 11],text00883,pers00093
"Blake, William",Nurse’s Song ,text00129,pers00009
"Osgood, Frances Sargent",Ah! Woman Still ,text00698,pers00593
"Dickinson, Emily","[1099 ""My Cocoon tightens — Colors tease —""] ",text00840,pers00523
"Lazarus, Emma",By the Waters of Babylon [No. V. Currents],text00854,pers00610
"Hunt, James Leigh","The St James’s Phenomenon [Ll. 1-30, 46-50, 61-65, 71-75]",text00303,pers00021
"Espronceda, José de",To Jarifa in an Orgy ,text00465,pers00178
"García Tassara, Gabriel",Mi mal ,text00471,pers00183
"Robinson, Mary","Written Between Dover and Calais, July 1792 ",text00317,pers00003
"Günderode, Karoline von",Ariadne on Naxos ,text01021,pers00097
"Grigoryev, Apollon",A Secret Power over You Has Been Given to Me ... ,text00459,pers00338
"Eichendorff, Joseph Freiherr von",The Broken Ring ,text01035,pers00091
"Hood, Thomas",Mary’s Ghost ,text00277,pers00017
"Musset, Alfred de",To Julie ,text01169,pers00113
"Tolstoy, Aleksey Konstantinovich",My Little Bluebells ,text00511,pers00351
"Mickiewicz, Adam",Pan Tadeusz [Book XI (excerpt)],text00505,pers00110
"Wordsworth, William","Peter Bell [Ll. 531-540, 571-580, 591-650]",text00263,pers00006
"Sainte-Beuve, Charles-Augustin",To My Friend V. H. ,text01155,pers00122
"Hugo, Victor",One last word ... ,text01141,pers00064
"Coleridge, Samuel Taylor","Fears in Solitude [Ll. 90 – 93, 101 – 20]",text00288,pers00004
"Very, Jones",The Presence ,text00713,pers00596
"Wordsworth, William",The Two-Part Prelude ,text00075,pers00006
"Byron, George Gordon, Lord","Don Juan [‘The Shipwreck’, Canto II, st. 51-52, 56-58, 65-83]",text00061,pers00012
"Cranch, Christopher Pearse",Bird Language ,text00707,pers00595
"Botev, Hristo",Hadji Dimiter ,text01419,pers00829
"Petrović-Njegoš, Petar II",The Mountain Wreath [excerpt],text01431,pers00831
"Wordsworth, William",The Mad Mother ,text00049,pers00006
"Petöfi, Sándor",One thought keeps tormenting me ... ,text01343,pers00118
"Jovanović, Jovan (Zmaj)",Bright graves [excerpt],text01425,pers00243
"Hemans, Felicia",The Image in Lava ,text00908,pers00018
"Lönnrot, Elias",Kalevala [In the Beginning],text01394,pers00731
"Tagore, Rabindranath","Mind without Fear Gitanjali, 35",text01380,pers00842
"Heine, Heinrich",In the Dreamy Wood I Wander ,text00920,pers00098
"Pushkin, Alexander",Sonnet [“Stern Dante did not despise the sonnet”],text00935,pers00120
"Beddoes, Thomas Lovell",Dream of Dying ,text01395,pers00045
"Hemans, Felicia",The Rock of Cader Idris ,text00909,pers00018
"Wordsworth, William",The Discharged Soldier ,text00048,pers00006
"Goethe, Johann Wolfgang von",The Metamorphosis of Plants ,text01356,pers00096
"Shelley, Percy Bysshe","The Cenci [Act V, scenes iii – iv]",text00060,pers00014
"Cranch, Christopher Pearse",The Spirit of the Age ,text00706,pers00595
"Very, Jones",The Dead ,text00712,pers00596
"Wordsworth, William",There Was a Boy ,text00074,pers00006
"Gautier, Théophile",The Wishes ,text01183,pers00062
"Southey, Robert",The Battle of Blenheim ,text00289,pers00008
"Alfieri, Vittorio",A crooked beak ... ,text01197,pers00514
"Campoamor, Ramón de","Caprices [First part X, LXXX, CXXXV; Second part XI, CLXIV, CLXXI, CCXXXI]",text00538,pers00339
"Wordsworth, William",The Idiot Boy ,text00262,pers00006
"Peacock, Thomas Love",The Legend of Manor Hall ,text00276,pers00049
"Smith, Charlotte Turner",To My Children ,text00316,pers00001
"Tieck, Johann Ludwig",Miracle of Love Gloss.,text01008,pers00129
"Clare, John",Lamentations of Round-Oak Waters [Ll. 157 – 196],text00302,pers00016
"Smith, Charlotte Turner",To a Nightingale ,text00855,pers00001
"Dickinson, Emily","[1101 ""Between the form of Life and Life""] ",text00841,pers00523
"Hooper, Ellen Sturgis",I slept and dreamed that life was Beauty... ,text00699,pers00594
"Chénier, André",The Young Captive ,text00869,pers00083
"Bécquer, Gustavo Adolfo",Rima LIII ,text01236,pers00150
"Blake, William",London ,text00128,pers00009
"Eichendorff, Joseph Freiherr von",On the Death of My Child [Stanza 8],text00896,pers00091
"Espronceda, José de","For Jarifa, at the Revels ",text01222,pers00178
"Blake, William",Nurse’s Song ,text00114,pers00009
"Whittier, John Greenleaf",Ichabod! ,text00672,pers00590
"Longfellow, Henry Wadsworth","Mezzo Cammin Boppard on the Rhine. August 25, 1842.",text00666,pers00205
"Keats, John",Ode to a Nightingale ,text00100,pers00013
"Blamire, Susanna",The Siller Croun ,text00119,pers00031
"Berchet, Giovanni",The Hermit of Mount Cenis. Romance.,text01207,pers00324
"Leopardi, Giacomo",To the Moon ,text01213,pers00106
"Blake, William",The Garden of Love ,text00125,pers00009
"Emerson, Ralph Waldo",Hamatreya ,text00643,pers00092
"Emerson, Ralph Waldo","""Teach me I am forgotten by the dead"" ",text00657,pers00092
"Blake, William",The Human Abstract ,text00131,pers00009
"Schiller, Friedrich",The Glove A Tale,text00864,pers00072
"Poe, Edgar Allan",To Helen ,text00680,pers00119
"Fuller, Margaret",Flaxman ,text00694,pers00592
"García Tassara, Gabriel",In the Countryside ,text00469,pers00183
"Lamartine, Alphonse de",Poetical Meditations [‘Isolation’],text00441,pers00104
"Eichendorff, Joseph Freiherr von",The Lark ,text01039,pers00091
"Wordsworth, William",It Is a Beauteous Evening ,text00327,pers00006
"Shelley, Percy Bysshe","Epipsychidion Verses Addressed To The Noble And Unfortunate Lady, Emilia Viviani, Now Imprisoned In The Convent Of St Anna",text00333,pers00014
"Alecsandri, Vasile",By the Fire Side ,text00455,pers00337
"Bolintineanu, Dimitrie",Stephen the Great’s Mother ,text00509,pers00152
"Musset, Alfred de",A Night in May ,text01171,pers00113
"Nerval, Gérard de",Thought from Byron ,text01165,pers00115
"Clare, John",Superstition’s Dream [Ll. 13-68],text00253,pers00016
"Southey, Robert",The Haunted Beach ,text00247,pers00008
"Nerval, Gérard de",The Dark Blot ,text01159,pers00115
"Corradi, Fernando",The Song of the Slave ,text00521,pers00355
"Bloomfield, Robert","The Farmer’s Boy [‘Summer’, ll. 287-290, 299-303, 333-351, 369-376, 391-400]",text00290,pers00052
"Wordsworth, William","The Female Vagrant [St. 33-36, 40-43]",text00284,pers00006
"Kölcsey, Ferenc",Hymn ,text01415,pers00488
"Bowles, William Lisle","Coombe Ellen [Ll. 1-19, 36-56, 76-90]",text00079,pers00027
"Wordsworth, William",Michael [Ll. 217-490],text00051,pers00006
"Thoreau, Henry David",Music ,text00737,pers00597
"Obradović, Dositej","Rise, O Serbia ",text01429,pers00830
"Very, Jones",The Spheres ,text00723,pers00596
"Blake, William",Visions of the Daughters of Albion ,text00045,pers00009
"Bryant, William Cullen",Inscription for the Entrance to a Wood ,text00910,pers00508
"Shelley, Percy Bysshe","Queen Mab [Canto III, ll. 138 — 169]",text00904,pers00014
"Hemans, Felicia",Remembrance of Nature ,text00092,pers00018
"Shelley, Percy Bysshe","To Jane, The Invitation ",text00086,pers00014
"Tennyson, Alfred, Lord",Flower in the crannied wall ... ,text01398,pers00127
"Hugo, Victor",Moonlight ,text00939,pers00064
"Tennyson, Alfred, Lord",The Hesperides ,text01399,pers00127
"Shelley, Percy Bysshe",To Jane: A Recollection ,text00087,pers00014
"Landon, Letitia Elizabeth","Scale Force, Cumberland ",text00093,pers00019
"Shelley, Percy Bysshe","Prometheus Unbound [Act I, ll. 31 — 58]",text00905,pers00014
"Keats, John","Endymion [Book I, ll. 1-33]",text00911,pers00013
"Very, Jones",The Silent ,text00722,pers00596
"Smith, Charlotte Turner",The Female Exile ,text00044,pers00001
"Wordsworth, William",Complaint of a Forsaken Indian Woman ,text00050,pers00006
"Thoreau, Henry David",What's the railroad to me?... ,text00736,pers00597
"Tennyson, Alfred, Lord",Song ,text01400,pers00127
"Wordsworth, William","Crossing the Alps [Prelude VI., ll. 494 – 572]",text00078,pers00006
"Ho, Xuan Huong",Weaving at Night ,text01366,pers00835
Wu Tsao,I have Closed the Double Doors ... ,text01372,pers00837
"Burns, Robert","For A’ That, and A’ That ",text00285,pers00002
"Wordsworth, William",On the Extinction of the Venetian Republic ,text00291,pers00006
"Southey, Robert",The Old Woman of Berkeley ,text00246,pers00008
"Lermontov, Mikhail",Words There are So Baffling ,text00534,pers00107
"Byron, George Gordon, Lord",La Belle Dame Sans Merci ,text00252,pers00012
"Wergeland, Henrik",The Army of Truth ,text00497,pers00336
"Stagnelius, Erik Johan",Friend! in the Moment of Devastation ,text00483,pers00341
"Shelley, Percy Bysshe","Laon and Cythna [Dedication, ll. 1-46, 91-126]",text00332,pers00014
"Wordsworth, William","‘Child of My Parents’ [Prelude Book XIII., ll. 211-246]",text00326,pers00006
"Schelling, Friedrich Wilhelm Joseph",Animal and Plant ,text01010,pers00304
"Hardenberg, Georg Philipp Friedrich Freiherr von (Novalis)",I see thee in a thousand pictures ,text01004,pers00116
"Fuller, Margaret",Freedom and Truth To a friend,text00695,pers00592
"Goethe, Johann Wolfgang von",Erlking ,text00859,pers00096
"Poe, Edgar Allan",Israfel ,text00681,pers00119
"Hölderlin, Friedrich",Half of Life ,text00871,pers00099
"Emerson, Ralph Waldo",The River ,text00656,pers00092
"Blake, William",The Tyger ,text00130,pers00009
"Blake, William",The Clod and the Pebble ,text00124,pers00009
"Emerson, Ralph Waldo",Uriel ,text00642,pers00092
"Blake, William",The Divine Image ,text00118,pers00009
"Longfellow, Henry Wadsworth",My Lost Youth ,text00668,pers00205
"Blake, William",The Sick Rose ,text00132,pers00009
"Emerson, Ralph Waldo",Waldeinsamkeit ,text00654,pers00092
"Eichendorff, Joseph Freiherr von",Pleasure in Death ,text00898,pers00091
"Emerson, Ralph Waldo",The Problem ,text00640,pers00092
"Blake, William",A Poison Tree ,text00126,pers00009
"Castro, Rosalía de",My illness is incurable ... ,text01238,pers00166
"Mereau, Sophie",To a Tree on a Trellis ,text00873,pers00511
"Williams, Helen Maria",Sonnet to Twilight ,text00867,pers00040
"Osgood, Frances Sargent",Forgive and Forget ,text00697,pers00593
"Poe, Edgar Allan",The City in the Sea ,text00683,pers00119
"Tieck, Johann Ludwig",Love ,text01006,pers00129
"Cowper, William",To Mary ,text00318,pers00023
"Wordsworth, William",Surprised by Joy ,text00330,pers00006
"Wordsworth, William",To a Butterfly ,text00324,pers00006
"Vörösmarty, Mihály",Csongor and Tünde [extract from the ‘Soliloquy of the Night’],text00495,pers00333
"Kellgren, Johan Henric","The New Creation, or the World of Imagination ",text00481,pers00340
"Norton, Caroline Elizabeth Sarah",First Love ,text00278,pers00020
"Wordsworth, William",The Thorn ,text00244,pers00006
"Crabbe, George",Peter Grimes ,text00250,pers00044
"Tyutchev, Fyodor",Silentium! ,text00536,pers00238
"Saluzzo Roero, Diodata",The War of 1793 ,text01199,pers00515
"Coleridge, Samuel Taylor",France: An Ode ,text00287,pers00004
"Wordsworth, William",We Had a Fellow-Passenger ,text00293,pers00006
"Ho, Xuan Huong",Jackfruit ,text01364,pers00835
"Ó Raifteiri, Antoine",I am Raifteirí ... ,text01402,pers00851
"Cranch, Christopher Pearse",The Pines and the Sea ,text00708,pers00595
Wu Tsao,Bitter Rain in my Courtyard ... ,text01370,pers00837
"Kobayashi, Issa",[Haiku] ,text01358,pers00833
"Southey, Robert",Mary the Maid of the Inn ,text00046,pers00008
"Very, Jones",The Hand and the Foot ,text00720,pers00596
"Thoreau, Henry David",Low-anchored cloud... ,text00734,pers00597
"Wordsworth, William",The Leech-Gatherer ,text00052,pers00006
"Clare, John",The Skylark ,text00907,pers00016
"Shelley, Percy Bysshe",Mont Blanc Lines Written in the Vale of Chamouni,text00085,pers00014
"Clare, John",This Leaning Tree with Ivy Overhung ,text00091,pers00016
"Keats, John",Twilight Time [Ll. 1 – 24],text00090,pers00013
"Byron, George Gordon, Lord",Epistle to Augusta ,text00084,pers00012
"Keats, John","The Fall of Hyperion [Canto I, ll. 1-18]",text00912,pers00013
"Clare, John",I’ve Loved Thee Swordy Well ,text00906,pers00016
"Thoreau, Henry David",Forever in my dream & in my morning thought ,text00735,pers00597
"Wordsworth, William","The London Beggar [Prelude VII., ll. 594-622]",text00053,pers00006
"Wordsworth, William",Old Man Travelling ,text00047,pers00006
"Very, Jones",Yourself ,text00721,pers00596
"Petöfi, Sándor",National Song ,text01417,pers00118
"Very, Jones",The Columbine ,text00709,pers00596
"Wordsworth, William",To Toussaint L’Ouverture ,text00292,pers00006
"Southey, Robert",Poems on the Slave Trade ,text00286,pers00008
"Byron, George Gordon, Lord",Darkness ,text00251,pers00012
"Geijer, Erik Gustaf",The Yeoman Farmer ,text00523,pers00356
"Coleridge, Samuel Taylor",Christabel [Part I.],text00245,pers00004
"Musset, Alfred de","To Sainte-Beuve, On a passage from an article in the Revue des Deux Mondes",text01173,pers00113
"Musset, Alfred de",Pale star of evening ... ,text01167,pers00113
"Cowper, William","Sweet Meat Has Sour Sauce, or The Slave Trader in the Dumps ",text00279,pers00023
"Wordsworth, William",The Sparrow’s Nest ,text00325,pers00006
"Vörösmarty, Mihály",On Mankind ,text00443,pers00333
"Eminescu, Mihai",Epistles [‘Epistle I’ (excerpt)],text00457,pers00175
"Shelley, Percy Bysshe",To Harriet ,text00331,pers00014
"Lamb, Charles","To Mary Ann Lamb, the Author’s Best Friend and Sister ",text00319,pers00005
"Brentano, Clemens",Lore Lay ,text01013,pers00078
"Poe, Edgar Allan",The Valley of Unrest ,text00682,pers00119
"Osgood, Frances Sargent",He Bade Me Be Happy ,text00696,pers00593
"Schiller, Friedrich",Naenia ,text00866,pers00072
"Emerson, Ralph Waldo",The Visit ,text00641,pers00092
"Byron, George Gordon, Lord",I Saw Thee Weep ,text00899,pers00012
"Blake, William",Infant Sorrow ,text00127,pers00009
"Blake, William",The Chimney Sweeper ,text00133,pers00009
"Emerson, Ralph Waldo",Compensation ,text00655,pers00092
"Saluzzo Roero, Diodata",On Sepulchers. To Ippolito Pindemonte,text01205,pers00515
"Manzoni, Alessandro",The Fifth of May. Ode,text01211,pers00109
"Longfellow, Henry Wadsworth",Aftermath ,text00669,pers00205
"Emerson, Ralph Waldo","Hymn: Sung at the Completion of the Concord Monument, April 19, 1836",text00651,pers00092
"Cristall, Ann Batten",Through Springtime Walks ,text00137,pers00032
"Blake, William",My Pretty Rose Tree ,text00123,pers00009
"Emerson, Ralph Waldo",The Snow-Storm ,text00645,pers00092
"Leopardi, Giacomo",The Evening After the Holy Day ,text01215,pers00106
"Saluzzo Roero, Diodata",To Evening ,text01201,pers00515
"Poe, Edgar Allan",“Alone” ,text00679,pers00119
"Holmes, Oliver Wendell",The Chambered Nautilus ,text00692,pers00591
"Poe, Edgar Allan",Lenore ,text00686,pers00119
"Scott, Walter",Jock of Hazeldean ,text00876,pers00010
"Burns, Robert",Afton Water ,text00862,pers00002
"Shelley, Percy Bysshe",To Jane ,text00335,pers00014
"Welhaven, Johan Sebastian",My Saint ,text00453,pers00325
"Leopardi, Giacomo",To himself ,text00447,pers00106
"Coleridge, Samuel Taylor",Letter to Sara Hutchinson 4 April 1802,text00321,pers00004
"Brentano, Clemens",Resonance of Beethoven’s Music ,text01017,pers00078
"Landon, Letitia Elizabeth",The Factory ,text00309,pers00019
"Wordsworth, William","The Prelude [Book IX., ll. 161-180]",text00484,pers00006
"Bürger, Gottfried August",Lenora ,text00241,pers00041
"Campbell, Thomas",The Last Man ,text00255,pers00007
"Nerval, Gérard de",Delphica ,text01163,pers00115
"Hogg, James",James Rigg [Ll. 1-42],text00269,pers00015
"Musset, Alfred de",A Wasted Evening ,text01177,pers00113
"Barbauld, Anna Laetitia",On the Expected General Rising of the French Nation in 1792 ,text00282,pers00026
"Wordsworth, William","The Prelude [Book IX. ‘Residence in France’, ll. 127-168 (Among Royalists: Blois, Spring 1792)]",text00296,pers00006
"Very, Jones",The Origin of Man ,text00725,pers00596
"Baillie, Joanna",The Storm-Beat Maid Somewhat after the Style of Our Old English Ballads,text00043,pers00024
"Petöfi, Sándor",The Song of the Wolves ,text01349,pers00118
"Bryan, Mary",The Visit [Ll. 45 – 126],text00057,pers00025
"Thoreau, Henry David",Fair Haven ,text00731,pers00597
"Very, Jones",The Barberry-Bush ,text00719,pers00596
"Berzsenyi, Dániel",To the Hungarians I.,text01413,pers00680
"Smith, Charlotte Turner","Beachy Head [Ll. 346 – 405, 456-505]",text00080,pers00001
"Landon, Letitia Elizabeth",Fountains Abbey ,text00094,pers00019
"Vigny, Alfred de",The Death of the Wolf ,text00916,pers00131
"Lamartine, Alphonse de",The Lake [Tenth Meditation.],text00903,pers00104
"Burns, Robert","Despondency, An Ode",text00095,pers00002
"Opie, Amelia",Stanzas Written Under Aeolus’ Harp ,text00081,pers00028
"Hayati Kermani, Bibi",Before there was a Hint of Civilization ... ,text01374,pers00840
"Norwid, Cyprian Kamil",The Sphinx ,text01406,pers00463
"Very, Jones",Autumn Leaves ,text00718,pers00596
"Ho, Xuan Huong",Autumn Landscape ,text01360,pers00835
"Campbell, Thomas",Lord Ullin’s Daughter ,text00056,pers00007
"Thoreau, Henry David","Light-winged Smoke, Icarian bird... ",text00730,pers00597
"Very, Jones",The Lost ,text00724,pers00596
"Cowper, William","The Task [Book I, ll. 534 – 556: ‘Crazy Kate’]",text00042,pers00023
"Wordsworth, William","The Prelude [Book IX. ‘Residence in France’, ll. 294 – 299, 511 – 534 (‘A Patriot’: Blois, early Summer 1792)]",text00297,pers00006
"Baudelaire, Charles",I love the thought ... ,text01189,pers00057
"Williams, Helen Maria","To Dr Moore, in Answer to a Poetical Epistle Written by Him in Wales [Ll. 35-82]",text00283,pers00040
"Smith, James","The Baby’s Debut, by W. W. ",text00268,pers00048
"Słowacki, Juliusz","Beniowski Poem. [Canto I, 25 – 27; Canto II, 12 – 20]",text00532,pers00349
"Beddoes, Thomas Lovell","The Bride’s Tragedy [Act II., scene iv.]",text00254,pers00045
"Burns, Robert",Tam O’ Shanter ,text00240,pers00002
"Wordsworth, William","The Prelude [Book XII., ll. 208-286]",text00526,pers00006
"Wordsworth, William","The Prelude [Book X., ll. 356-374, 397-415",text00485,pers00006
"Körner, Theodor",Lützow’s Wild Chase ,text00491,pers00344
"Hardenberg, Georg Philipp Friedrich Freiherr von (Novalis)",Hymns to the Night [5],text01002,pers00116
"Hood, Thomas","Ode to H. Bodkin Esq., Secretary to the Society for the Suppression of Mendicity ",text00308,pers00017
"Coleridge, Samuel Taylor","Composed on a Journey Homeward, the Author Having Received Intelligence of the Birth of a Son, September 20, 1796 ",text00320,pers00004
"Shelley, Percy Bysshe",To Jane with a Guitar ,text00334,pers00014
"Poe, Edgar Allan",Dream-Land ,text00687,pers00119
"Fuller, Margaret",Sistrum ,text00693,pers00592
"Poe, Edgar Allan",Romance ,text00678,pers00119
"Blake, William",Earth’s Answer ,text00122,pers00009
"Emerson, Ralph Waldo","The Rhodora: On Being Asked, Whence Is the Flower?",text00644,pers00092
"Emerson, Ralph Waldo",Musketaquid ,text00650,pers00092
"Hunt, James Leigh","To Percy Shelley, on the Degrading Notions of Deity ",text00888,pers00021
"Zorrilla y Moral, José",Oriental. [“Across the plain at a gallop”],text01228,pers00328
"Blake, William",Ah! Sun-Flower ,text00136,pers00009
"Emerson, Ralph Waldo","Ode, Inscribed to W. H. Channing ",text00646,pers00092
"Blamire, Susanna",Oh Bid Me Not to Wander Written when earnestly entreated to go the South of France for the recovery of her health.,text00120,pers00031
"Blake, William",Holy Thursday ,text00134,pers00009
"Emerson, Ralph Waldo",Brahma ,text00652,pers00092
"Burns, Robert",A Red Red Rose ,text00108,pers00002
"Poe, Edgar Allan",The Sleeper ,text00685,pers00119
"Holmes, Oliver Wendell",Old Ironsides ,text00691,pers00591
"Menken, Adah Isaacs",Infelix ,text00849,pers00609
"Blake, William",Mock on Mock on Voltaire Rousseau [from Blake’s notebook],text00861,pers00009
"Wordsworth, William",Nutting ,text00875,pers00006
"Wordsworth, William",To My Sister ,text00322,pers00006
"Byron, George Gordon, Lord",When We Two Parted ,text00336,pers00012
"Hardenberg, Georg Philipp Friedrich Freiherr von (Novalis)",Hymns to the Night [2],text01000,pers00116
"Byron, George Gordon, Lord",Don Juan [‘Dedication’.],text00487,pers00012
"Heine, Heinrich",Germany. A Winter’s Tale III.,text00493,pers00098
"Hood, Thomas",The Last Man ,text00256,pers00017
"Porta, Carlo","Romanticism [Ll. 31-72, 121-138, 151-162, 211-216]",text00530,pers00361
"Bürger, Gottfried August",The Lass of Fair Wone ,text00242,pers00041
"Wordsworth, William","The Prelude [Book IX. ‘Residence in France’, ll. 40-71 (A Tourist’s Unconcern: Paris, Dec. 1791)]",text00295,pers00006
"Yearsley, Ann","On the Inhumanity of the Slave Trade [Ll. 243-291, 347-352]",text00281,pers00051
"Thoreau, Henry David",My life has been the poem I would have writ... ,text00732,pers00597
"Coleridge, Samuel Taylor","The Rime of the Ancyent Marinere, In Seven Parts",text00054,pers00004
"Hemans, Felicia",Arabella Stuart ,text00040,pers00018
"Thoreau, Henry David",I am a parcel of vain strivings tied... ,text00726,pers00597
"Norwid, Cyprian Kamil",Chopin’s piano ,text01410,pers00463
"Hayati Kermani, Bibi",How can I See the Splendor of the Moon ... ,text01376,pers00840
"Burns, Robert","To a Mouse, On Turning Her Up in Her Nest with the Plough, November 1785",text00068,pers00002
"Ho, Xuan Huong",On Sharing a Husband ,text01362,pers00835
"Ó Raifteiri, Antoine",Anach Cuain ,text01404,pers00851
"Mickiewicz, Adam",The Akkerman Steppes ,text00929,pers00110
"Coleridge, Samuel Taylor","Dejection, An Ode",text00097,pers00004
"Byron, George Gordon, Lord","Childe Harold's Pilgrimage [Canto III, st. 68-75, 85-90: ‘Lake Leman’]",text00083,pers00012
"Evance, Susan",To Melancholy ,text00901,pers00770
"Byron, George Gordon, Lord",Prometheus ,text00900,pers00012
"Droste-Hülshoff, Annette von",In the Moss ,text00914,pers00089
"Lickbarrow, Isabella",On Esthwaite Water ,text00082,pers00029
"Solomos, Dionysios",The Destruction of Psara ,text01388,pers00125
"Wordsworth, William",The Immortality Ode ,text00096,pers00006
"Menken, Adah Isaacs",Battle of the Stars (After Ossian.),text01411,pers00609
"Coleridge, Samuel Taylor",The Eolian Harp ,text00069,pers00004
"Norton, Caroline Elizabeth Sarah",The Faithless Knight ,text00041,pers00020
"Bialik, Hayyim Nachman",Songs of the People [excerpts],text01439,pers00678
"Thoreau, Henry David",The Poet's Delay ,text00727,pers00597
"Thoreau, Henry David",On fields oer which the reaper's hand has passd... ,text00733,pers00597
"Coleridge, Samuel Taylor",Pains of Sleep ,text00055,pers00004
"More, Hannah","Slavery: A Poem [Ll. 67-82, 95-124, 211-226]",text00280,pers00050
"Wordsworth, William","The Prelude [Book VI. ‘Cambridge and the Alps’, ll. 352 – 369, 380 – 413 (‘Golden Hours’: Calais and the Rhone, July 1790)]",text00294,pers00006
"Quintana, Manuel José",Spain after the March Revolution [excerpt],text00519,pers00354
"Nerval, Gérard de",A Fancy ,text01161,pers00115
"Musset, Alfred de",Sonnet ,text01175,pers00113
,Kalevala [XLIV Väinämöinen’s new Kantele],text00525,
